img,obj_number,volume,yfp
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,1.0,2.0,4438.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,3.0,760.0,1654038.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,4.0,1765.0,3847735.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,5.0,2404.0,5228007.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,6.0,251.0,545878.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,7.0,1498.0,3258242.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,8.0,2160.0,4705176.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,9.0,1720.0,3745985.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,10.0,3523.0,7671905.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,12.0,152.0,330216.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,15.0,2011.0,4384428.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,16.0,2545.0,5542456.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,17.0,502.0,1092678.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,18.0,1696.0,3689316.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,20.0,2503.0,5443652.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,24.0,274.0,596597.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,25.0,1098.0,2387952.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,26.0,1675.0,3644505.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,28.0,363.0,791052.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,30.0,1551.0,3378047.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,31.0,1350.0,2933515.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,32.0,3154.0,6852049.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,33.0,1351.0,2938146.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,35.0,475.0,1033155.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,36.0,2540.0,5528264.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,40.0,1609.0,3500383.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,44.0,1229.0,2671295.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,47.0,873.0,1900970.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,48.0,1458.0,3172351.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,64.0,358.0,778859.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,73.0,539.0,1172321.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,74.0,707.0,1537609.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,95.0,75.0,162983.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,102.0,264.0,574228.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,105.0,372.0,810459.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,121.0,2.0,4397.0
controls_w5447.laser.35_noyfp_0_minusbest_1_t0.tif,125.0,766.0,1667726.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,1.0,14.0,30804.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,2.0,2513.0,5469086.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,3.0,1046.0,2277322.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,4.0,2315.0,5031620.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,5.0,531.0,1154293.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,6.0,3223.0,7009925.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,7.0,2759.0,5994413.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,8.0,1762.0,3828787.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,11.0,2009.0,4369567.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,12.0,1198.0,2605353.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,13.0,969.0,2107308.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,14.0,398.0,865227.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,15.0,2444.0,5309923.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,16.0,610.0,1325660.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,17.0,633.0,1377007.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,19.0,314.0,683191.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,20.0,128.0,278586.0
controls_w5447.laser.35_noyfp_0_minusbest_2_t0.tif,22.0,1547.0,3365732.0
