img,obj_number,volume,yfp,dox,substrate,bestradiol,timepoint,time_in_hr
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,1.0,1878.0,5470532.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,2.0,757.0,2241271.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,3.0,85.0,194500.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,4.0,3454.0,9535574.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,6.0,2545.0,7017681.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,7.0,398.0,961340.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,8.0,776.0,1952533.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,9.0,1593.0,5266026.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,12.0,2442.0,5585365.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,15.0,2351.0,7173074.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,16.0,291.0,665120.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,17.0,1353.0,3341571.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,18.0,2295.0,5213991.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,22.0,2164.0,5787506.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,23.0,456.0,1072451.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,26.0,2137.0,6927420.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,29.0,265.0,607237.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,30.0,318.0,763859.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,31.0,2339.0,6212386.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,32.0,5102.0,13142935.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,34.0,2279.0,5256729.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,35.0,414.0,970374.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,40.0,2659.0,6675381.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,41.0,1353.0,3087841.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,42.0,325.0,751975.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,49.0,527.0,1227318.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,50.0,1426.0,3297714.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,51.0,3907.0,12289293.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,52.0,384.0,917223.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,60.0,1771.0,4087753.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,61.0,552.0,2346475.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,66.0,2262.0,5636476.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,67.0,640.0,1617544.0,50dox,yfp15,plusbest,0.0,0.0
timelapse_w5447.laser.35_yfp15_50dox_plusbest_12_t1.tif,70.0,1118.0,2722230.0,50dox,yfp15,plusbest,0.0,0.0
