img,obj_number,volume,yfp
deltac30_w4447.laser.35_pex22n_1_4.tif,1.0,32.0,70631.0
deltac30_w4447.laser.35_pex22n_1_4.tif,2.0,1932.0,4229279.0
deltac30_w4447.laser.35_pex22n_1_4.tif,3.0,1810.0,3981416.0
deltac30_w4447.laser.35_pex22n_1_4.tif,4.0,1898.0,4183930.0
deltac30_w4447.laser.35_pex22n_1_4.tif,5.0,2228.0,4898877.0
deltac30_w4447.laser.35_pex22n_1_4.tif,7.0,439.0,961064.0
deltac30_w4447.laser.35_pex22n_1_4.tif,8.0,485.0,1082258.0
deltac30_w4447.laser.35_pex22n_1_4.tif,12.0,2600.0,5745608.0
deltac30_w4447.laser.35_pex22n_1_4.tif,13.0,1918.0,4262291.0
deltac30_w4447.laser.35_pex22n_1_4.tif,15.0,2055.0,4513797.0
deltac30_w4447.laser.35_pex22n_1_4.tif,17.0,326.0,719873.0
deltac30_w4447.laser.35_pex22n_1_4.tif,18.0,902.0,1999566.0
deltac30_w4447.laser.35_pex22n_1_4.tif,19.0,399.0,887251.0
deltac30_w4447.laser.35_pex22n_1_4.tif,23.0,1296.0,2844161.0
deltac30_w4447.laser.35_pex22n_1_4.tif,24.0,1698.0,3721440.0
deltac30_w4447.laser.35_pex22n_1_4.tif,26.0,1963.0,4303548.0
deltac30_w4447.laser.35_pex22n_1_4.tif,27.0,141.0,309606.0
deltac30_w4447.laser.35_pex22n_1_4.tif,32.0,1076.0,2359848.0
deltac30_w4447.laser.35_pex22n_1_4.tif,38.0,617.0,1351387.0
deltac30_w4447.laser.35_pex22n_1_4.tif,42.0,423.0,925366.0
deltac30_w4447.laser.35_pex22n_1_4.tif,51.0,199.0,435882.0
deltac30_w4447.laser.35_pex22n_1_4.tif,57.0,122.0,266866.0
deltac30_w4447.laser.35_pex22n_1_4.tif,61.0,1630.0,3545354.0
deltac30_w4447.laser.35_pex22n_1_4.tif,66.0,214.0,466525.0
deltac30_w4447.laser.35_pex22n_1_4.tif,68.0,602.0,1329361.0
deltac30_w4447.laser.35_pex22n_1_4.tif,74.0,554.0,1215094.0
deltac30_w4447.laser.35_pex22n_1_4.tif,83.0,195.0,425929.0
deltac30_w4447.laser.35_pex22n_1_4.tif,84.0,182.0,397470.0
deltac30_w4447.laser.35_pex22n_1_4.tif,91.0,501.0,1092895.0
deltac30_w4447.laser.35_pex22n_1_4.tif,97.0,85.0,185303.0
deltac30_w4447.laser.35_pex22n_1_4.tif,100.0,24.0,52204.0
deltac30_w4447.laser.35_pex22n_1_4.tif,102.0,80.0,174396.0
deltac30_w4447.laser.35_tom70n_3_4.tif,1.0,4.0,8988.0
deltac30_w4447.laser.35_tom70n_3_4.tif,5.0,8.0,18168.0
deltac30_w4447.laser.35_tom70n_3_4.tif,6.0,1140.0,2479207.0
deltac30_w4447.laser.35_tom70n_3_4.tif,7.0,18.0,41021.0
deltac30_w4447.laser.35_tom70n_3_4.tif,8.0,19.0,42896.0
deltac30_w4447.laser.35_tom70n_3_4.tif,9.0,56.0,122600.0
