img,obj_number,volume,yfp,organelle
swaps_w2447.laser.35_msp1yfp_3.tif,1.0,2225.0,4986613.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,2.0,2599.0,5816901.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,4.0,696.0,1596262.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,5.0,3309.0,7393571.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,7.0,430.0,978871.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,8.0,1416.0,3193319.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,9.0,1171.0,2623386.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,11.0,1898.0,4262318.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,12.0,2583.0,5776969.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,13.0,3514.0,7814204.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,15.0,1808.0,4043624.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,16.0,825.0,1876137.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,18.0,448.0,1002199.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,19.0,863.0,1928748.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,20.0,2646.0,5908559.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,25.0,152.0,343826.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,27.0,436.0,993637.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,30.0,2068.0,4702699.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,31.0,3492.0,7870115.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,33.0,2922.0,6528943.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,34.0,1971.0,4440836.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,37.0,915.0,2107546.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,40.0,1098.0,2468290.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,41.0,234.0,523033.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,44.0,180.0,406537.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,45.0,1323.0,2963261.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,47.0,306.0,684868.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,58.0,1540.0,3412257.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,60.0,258.0,584759.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,62.0,789.0,1762200.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,65.0,411.0,920114.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,70.0,661.0,1499819.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,75.0,2492.0,5569411.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,77.0,950.0,2118311.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,78.0,1624.0,3604176.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,82.0,1877.0,4201042.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,122.0,443.0,989317.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,136.0,407.0,904528.0,mito
swaps_w2447.laser.35_msp1yfp_3.tif,139.0,302.0,667951.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,1.0,1016.0,2267082.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,2.0,192.0,428058.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,3.0,3738.0,8308711.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,7.0,2019.0,4486459.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,9.0,1294.0,2885396.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,11.0,3865.0,8595561.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,12.0,2140.0,4759390.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,15.0,1866.0,4190840.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,22.0,119.0,262548.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,23.0,2219.0,4953515.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,24.0,221.0,495048.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,25.0,1591.0,3584705.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,26.0,661.0,1474602.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,28.0,1845.0,4118216.0,mito
swaps_w2447.laser.35_tom70nmsp1cyfp-2_2.tif,31.0,1978.0,4401071.0,mito
